names,family_name,first_name,date_born,date_dead,country_name,gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herrick_ Crabbe,Herrick, Crabbe,,,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heyse_ Paul,Heyse, Paul,1830,1914,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hildebrand_ Karl-Gustaf,Hildebrand, Karl-Gustaf,1911,2005,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillborg_ Anders,Hillborg, Anders,1954,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holgersson_ Christoffer,Holgersson, Christoffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holgersson_ Hannah,Holgersson, Hannah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holm Foosnæs_ Eva,Holm Foosnæs, Eva,1983,,Norge,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmberg_ Margit,Holmberg, Margit,1912,1989,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homilius_ Gottfried August,Homilius, Gottfried August,1714,1785,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins_ Gerard Manley,Hopkins, Gerard Manley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hovland_ Egil,Hovland, Egil,1924,2013,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howells_ Herbert,Howells, Herbert,1892,1983,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson_ Mary,Hudson, Mary,1755,1801,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hultenberger_ Karin,Hultenberger, Karin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurford_ Peter,Hurford, Peter,1930,2019,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Håkansson_ Knut,Håkansson, Knut,1887,1929,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hålling_ Mats,Hålling, Mats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Häggbom_ Berndt,Häggbom, Berndt,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Händel_ Georg Friedrich,Händel, Georg Friedrich,1685,1759,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hörberg_ Barbro,Hörberg, Barbro,1932,1976,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibsen_ Henrik,Ibsen, Henrik,1828,1906,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac_ Heinrich,Isaac, Heinrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackman_ Percy,Jackman, Percy,1860,1910,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobsson_ Jacob Timotheus,Jacobsson, Jacob Timotheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janequin_ Clement,Janequin, Clement,1485,1558,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenkins_ Karl,Jenkins, Karl,1944,,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennefelt_ Thomas,Jennefelt, Thomas,1954,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersild_ Jörgen,Jersild, Jörgen,1913,2004,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanson_ Sven-Eric,Johanson, Sven-Eric,1919,1997,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johansson_ Bengt,Johansson, Bengt,1914,1989,Finland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johansson_ Leif,Johansson, Leif,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johansson_ Olle,Johansson, Olle,1946,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones_ Howard,Jones, Howard,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonson_ Jonas,Jonson, Jonas,1939,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josquin des pres,Josquin des pres,,1450,1521,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junstrand_ Martin,Junstrand, Martin,1964,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jändel_ Ragnar,Jändel, Ragnar,1895,1939,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jönsson_ Tomas,Jönsson, Tomas,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jörgensen_ Johannes,Jörgensen, Johannes,1866,1956,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karkoff_ Maurice,Karkoff, Maurice,1927,2013,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlén_ Robert,Karlén, Robert,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlfeldt_ Erik-Axel,Karlfeldt, Erik-Axel,1864,1931,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katzenjammer,Katzenjammer,,,,Norge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klockar_ Anna-Karin,Klockar, Anna-Karin,1960,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knape_ Ernst V,Knape, Ernst V,1873,1929,Finland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koch_ Johannes H E,Koch, Johannes H E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodály_ Zolàn,Kodály, Zolàn,1882,1967,Ungern,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraus_ Joseph Martin,Kraus, Joseph Martin,1756,1792,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krebs_ Johann Nicolaus,Krebs, Johann Nicolaus,1732,1790,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kring_ Katie,Kring, Katie,1983,,USA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuhlander_ Jan Olof,Kuhlander, Jan Olof,1953,,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kullnes_ Åke,Kullnes, Åke,1910,1981,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvernå_ Trond,Kvernå, Trond,1945,,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyhle_ Anders,Kyhle, Anders,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyhle_ Hans,Kyhle, Hans,1933,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Köhler_ Emmy,Köhler, Emmy,1858,1925,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Cour_ Nils,La Cour, Nils,1944,,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang_ David,Lang, David,1957,,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lange-Müller_ Peter Erasmus,Lange-Müller, Peter Erasmus,1850,1926,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langlais_ Jean,Langlais, Jean,1907,1991,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson_ Lars-Erik,Larsson, Lars-Erik,1908,1986,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson_ Rolf,Larsson, Rolf,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laub_ Thomas,Laub, Thomas,1852,1927,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurentii_ Laurentius,Laurentii, Laurentius,1573,1655,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leighton_ Kenneth,Leighton, Kenneth,1929,1988,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leijon_ Jerker,Leijon, Jerker,1956,2009,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leisring_ Volckmar,Leisring, Volckmar,1590,1637,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenngren_ Anna Maria,Lenngren, Anna Maria,1754,1817,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leontovich_ Mykola,Leontovich, Mykola,1877,1921,Ukraina,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lermontov_ Michail,Lermontov, Michail,1814,1841,Ryssland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewkovitch_ Bernhard,Lewkovitch, Bernhard,1927,,Danmark,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidholm_ Ingvar,Lidholm, Ingvar,1921,2017,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liljefors_ Ruben,Liljefors, Ruben,1871,1936,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindberg_ Nils,Lindberg, Nils,1933,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindberg_ Oskar,Lindberg, Oskar,1887,1955,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindberg_ Staffan,Lindberg, Staffan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindblad_ Adolf Fredrik,Lindblad, Adolf Fredrik,1801,1878,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindegren_ Johan,Lindegren, Johan,1842,1908,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linderot_ Lars,Linderot, Lars,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindmark_ Susanna,Lindmark, Susanna,1966,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindroth_ Henry,Lindroth, Henry,1910,1993,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindström_ E,Lindström, E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindström_ Rune,Lindström, Rune,1916,1973,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindwall_ Hampus,Lindwall, Hampus,1976,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logård_ Mona,Logård, Mona,1949,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotscher_ Johan Georg,Lotscher, Johan Georg,1733,1805,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotti_ Antonio,Lotti, Antonio,1667,1740,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luboff_ Norman,Luboff, Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lugn_ Kristina,Lugn, Kristina,1948,2020,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lundén-Welden_ Gunnar,Lundén-Welden, Gunnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lundmark_ Arne,Lundmark, Arne,1956,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunell_ Hans,Lunell, Hans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther_ Martin,Luther, Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Löfberg_ Maria,Löfberg, Maria,1968,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lövestam_ Christina,Lövestam, Christina,1949,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Löwenhjelm_ Harriet,Löwenhjelm, Harriet,1887,1918,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnusson_ Lars-Magnus,Magnusson, Lars-Magnus,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahler_ Gustav,Mahler, Gustav,1860,1911,Österrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallander_ Inez,Mallander, Inez,1896,1975,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin-Löf_ Cecilia,Martin-Löf, Cecilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinson_ Harry,Martinson, Harry,1904,1978,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason_ Lowell,Mason, Lowell,1792,1872,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDowall_ Cecilia,McDowall, Cecilia,1951,,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGranaham_ James,McGranaham, James,1840,1907,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melin_ Margareta,Melin, Margareta,1935,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendelssohn_ Felix,Mendelssohn, Felix,1809,1847,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miessner_ Hanns,Miessner, Hanns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell_ Red,Mitchell, Red,1927,1992,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohr_ Joseph,Mohr, Joseph,1792,1848,Österrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molin_ Evert,Molin, Evert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozart_ Wolfgang Amadeus,Mozart, Wolfgang Amadeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujika_ Inazio,Mujika, Inazio,1963,,Spanien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mässordinariet,Mässordinariet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nielsen_ Emil,Nielsen, Emil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nietsche_ Friedrich,Nietsche, Friedrich,1844,1900,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilsson_ john,Nilsson, john,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilsson_ Paul,Nilsson, Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norberg Hagberg_ Eva,Norberg Hagberg, Eva,1915,2004,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyblom_ Knut,Nyblom, Knut,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyström _ Erik,Nyström , Erik,1842,1907,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyström_ Bengt E,Nyström, Bengt E,1886,1959,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olaus Petri,Olaus Petri,,1493,1552,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldgren_ Karin,Oldgren, Karin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldgren/Eklund,Oldgren/Eklund,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olofsson_ Rune Pär,Olofsson, Rune Pär,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olsson_ Otto,Olsson, Otto,1879,1964,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterdahl_ Jeanna,Otterdahl, Jeanna,1879,1965,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patchen_ Kenneth,Patchen, Kenneth,1911,1972,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peterson-Berger_ Wilhelm,Peterson-Berger, Wilhelm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulenc_ Francis,Poulenc, Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pourkarim_ Laleh,Pourkarim, Laleh,1982,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine_ Jean,Racine, Jean,1639,1699,Frankrike,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regnart_ Jacob,Regnart, Jacob,1540,1599,Holland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renvall_ Viola,Renvall, Viola,1905,1998,Finland,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richter_ Otto,Richter, Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riedlinger_ Brian,Riedlinger, Brian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rilton och Björklund,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root G F,Root,G F,1820,1895,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosetti_ Christina,Rosetti, Christina,1830,1894,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runeberg_ J L,Runeberg, J L,,,Finland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutter_ John,Rutter, John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rückert_ Friedrich,Rückert, Friedrich,,1866,Tyskland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rydberg_ Viktor,Rydberg, Viktor,1828,1895,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rönnegård_ Sam,Rönnegård, Sam,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S:t Thomas av Aquino,S:t Thomas av Aquino,,1225,1274,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sahlberg_ Dan-Erik,Sahlberg, Dan-Erik,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandell_ Lina,Sandell, Lina,,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandström_ Jan,Sandström, Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandström_ Sven David,Sandström, Sven David,1942,2019,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setterlind_ Bo,Setterlind, Bo,1923,1991,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakespeare_ William,Shakespeare, William,1564,1616,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherd_ Katrina,Shepherd, Katrina,,,England,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sköld_ Agneta,Sköld, Agneta,1947,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonnevi_ Göran,Sonnevi, Göran,1939,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spegel_ Haquin,Spegel, Haquin,1645,1714,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenhammar_ Wilhelm,Stenhammar, Wilhelm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm_ Theodor,Storm, Theodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swingler_ Randall,Swingler, Randall,1909,1967,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Söderblom_ Nathan,Söderblom, Nathan,1866,1931,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teasdale_ Sara,Teasdale, Sara,1884,1933,USA,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternström_ Sten,Ternström, Sten,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomaas av Aquino,Thomaas av Aquino,#VALUE!,1225,1274,Italien,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorsell Alm_ Anna-Stina,Thorsell Alm, Anna-Stina,1951,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomissön_ Hans,Tomissön, Hans,,1573,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topelius_ Zakarias,Topelius, Zakarias,1818,1898,Finland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torvalds_ Ole,Torvalds, Ole,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trad,Trad,,1872,1960,Sverige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tranströmer_ Tomas,Tranströmer, Tomas,1931,2015,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Törnvall_ Emil,Törnvall, Emil,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulfvarson_ Barbro,Ulfvarson, Barbro,1934,,Sverige,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulvaeus_ Björn,Ulvaeus, Björn,,,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulveaus/Rice,#VALUE!,#VALUE!,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unander-Scharin_ Carl,Unander-Scharin, Carl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
van Dijk_ Peter Louis,van Dijk, Peter Louis,1953,,Holland,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaughan_ Henry,Vaughan, Henry,1622,1695,Wales,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinje_ Asmund Olavsson,Vinje, Asmund Olavsson,1818,1870,Norge,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallin_ J O,Wallin, J O,1779,1839,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watts_ Isaac,Watts, Isaac,1674,1748,England,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Widmark_ Göran,Widmark, Göran,1910,1982,Sverige,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikander_ David,Wikander, David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikander_ Per,Wikander, Per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiklander_ Per,Wiklander, Per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilhousky_ Peter J,Wilhousky, Peter J,1902,1978,USA,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolf_ Virginia,Woolf, Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Öhrwall_ Anders,Öhrwall, Anders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
